TD,Exchange Name,Location,Region,EXCH,MIC,Asset,Acronym
,,,,,,,
Y,A2X Markets,ZA,AMA,AJ,A2XX,Eq,A2X
Y,AIAF Mercado De Renta Fija,ES,WEA,,XDRF,FI,
Y,APX Group,NL,WEA,,,,
Y,APX Power NL,NL,WEA,,NLPX,Idx,
Y,APX Power UK,GB,WEA,,UKPX,"Der,Idx",
Y,ASX 24 (formerly Sydney Futures Exchange),AU,APA,,XSFE,Der,ASX24
Y,ASX Group,AU,APA,,XASX,,
Y,ATHEX,GR,WEA,,ASEX,,
Y,ATHEX APA,GR,WEA,XT,ASEX,"Der,Eq,FI",
Y,Abu Dhabi Securities Exchange,AE,AMA,DH,XADS,"Eq,Idx",ADX
Y,Alpha Toronto,CA,NAA,TA,XATS,"Eq,FI",
Y,Alpha Venture,CA,NAA,TN,XATS,"Eq,FI",
Y,Alternate Investment Market,GB,WEA,,AIMX,Eq,AIM
Y,Amman Stock Exchange,JO,AMA,JR,XAMM,"Eq,FI,Idx",ASE
Y,Angola Stock Exchange,,,,,Eq,
Y,Aquis Exchange,GB,WEA,QX,AQXE,Eq,
Y,Aquis Exchange SA (EU Segment),,,QE,AQEU,Eq,
Y,Asia Pacific Exchange,SG,APA,,APEX,Der,APEX
Y,Asset Match MTF,GB,WEA,A0,SHAR,Eq,
Y,Astana International Exchange,KZ,APA,KX,AIXK,"Eq,FI",AIX
Y,Astana International Exchange,KZ,APA,KX,AIXK,"Eq,FI",AIX
Y,Asuncion Bolsa Valores,PY,LAA,PN,XVPA,"Eq,FI",BVPASA
Y,Athens Derivatives Exchange,GR,WEA,,XADE,Der,ADEX
Y,Athens Exchange Alternative Market,GR,WEA,AA,ENAX,Eq,EN.A
Y,Athens Stock Exchange,GR,WEA,"GA, XT","ASEX, HOTC, XADE, XATH, XIPO","Der,Eq,FI,Idx",ASE
Y,Australian Securities Exchange,AU,APA,AT,"ASXB, ASXC, ASXP, ASXT, ASXV, XASX, XSFE","Der,Eq,FI,Idx",ASX
Y,B3 Derivatives,BR,LAA,,BVMF,"Der,FI",B3
Y,B3 Equity,BR,LAA,"BN, BS",BVMF,"Eq,FI,Idx",B3
N,B3 Soma,BR,LAA,BO,XSOM,"Eq,FI",SOMA
