ExchangeCode,ExchangeName,Ticker,Name
AMEX,American Stock Exchange,AAAU,Perth Mint Physical Gold ETF
AMEX,American Stock Exchange,AADR,Advisorshares Dorsey Wright ADR
AMEX,American Stock Exchange,AAMC,Altisource Asset
AMEX,American Stock Exchange,AAU,Almaden Minerals
AMEX,American Stock Exchange,ABEQ,Absolute Core Strategy ETF
AMEX,American Stock Exchange,ACES,Alps Clean Energy ETF
AMEX,American Stock Exchange,ACIO,Aptus Collared Income Opportunity ETF
AMEX,American Stock Exchange,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders
AMEX,American Stock Exchange,ACSI,American Customer Satisfaction Core
AMEX,American Stock Exchange,ACU,Acme United Corp
AMEX,American Stock Exchange,ACWF,Global Multifactor Ishares Edge MSCI ETF
AMEX,American Stock Exchange,ACWV,Global Min Vol Ishares Edge MSCI ETF
AMEX,American Stock Exchange,ACY,Aerocentury Corp
AMEX,American Stock Exchange,ADME,ETF Series Solutions
AMEX,American Stock Exchange,AE,Adams Resources & Energy
AMEX,American Stock Exchange,AEF,Aberdeen EM Equity Income Fund Inc
AMEX,American Stock Exchange,AESR,Anfield U.S. Equity Sector Rotation ETF
AMEX,American Stock Exchange,AFIF,Anfield Universal Fixed Income ETF
AMEX,American Stock Exchange,AFK,Africa Index ETF Vaneck
AMEX,American Stock Exchange,AFLG,FT Active Factor Large Cap ETF
AMEX,American Stock Exchange,AFMC,FT Active Factor Mid Cap ETF
AMEX,American Stock Exchange,AFSM,FT Active Factor Small Cap ETF
AMEX,American Stock Exchange,AFTY,CSOP FTSE China A50 ETF
AMEX,American Stock Exchange,AGE,Agex Therapeutics Inc
AMEX,American Stock Exchange,AGG,US Aggregate Bond Ishares Core ETF
AMEX,American Stock Exchange,AGGP,IQ Enhanced Core Plus Bond U.S.
AMEX,American Stock Exchange,AGGY,Wisdomtree Yield Enhanced U.S. Agg Bond
AMEX,American Stock Exchange,AGQ,Ultra Silver Proshares
AMEX,American Stock Exchange,AGT,Argentina Ishares MSCI ETF
AMEX,American Stock Exchange,AGZ,Agency Bond Ishares ETF
AMEX,American Stock Exchange,AIEQ,Ai Powered Equity ETF
AMEX,American Stock Exchange,AIIQ,Ai Powered International Equity ETF
AMEX,American Stock Exchange,AIM,Aim Immunotech Inc
AMEX,American Stock Exchange,AINC,Ashford Inc
AMEX,American Stock Exchange,AIRI,Air Industries Group Inc
AMEX,American Stock Exchange,ALFA,Alphaclone Alternative Alpha ETF
AMEX,American Stock Exchange,ALO,Alio Gold Corp
AMEX,American Stock Exchange,ALTL,RBS US Large Cap Alternator Exc
AMEX,American Stock Exchange,ALTS,Mstar Alternative Solutions Proshares
AMEX,American Stock Exchange,AMBO,Ambow Education Holding Ltd
AMEX,American Stock Exchange,AMJ,Alerian MLP Index ETN JP Morgan
AMEX,American Stock Exchange,AMLP,Alps Alerian MLP ETF
AMEX,American Stock Exchange,AMNA,Etracs Alerian Midstream Energy Index
AMEX,American Stock Exchange,AMOM,Qraft Ai-Enhanced U.S. Large Cap
AMEX,American Stock Exchange,AMPE,Ampio Pharmaceuticals
AMEX,American Stock Exchange,AMS,American Shared Hospital Services
AMEX,American Stock Exchange,AMU,Etracs Alerian MLP Index ETN
AMEX,American Stock Exchange,AMUB,Etracs Alerian MLP Index ETN Series B
AMEX,American Stock Exchange,AMZA,Infracap MLP ETF
AMEX,American Stock Exchange,ANVS,Annovis Bio Inc
AMEX,American Stock Exchange,AOA,Aggressive Allocation Ishares Core ETF
AMEX,American Stock Exchange,AOK,Conservative Allocation Ishares Core ETF
AMEX,American Stock Exchange,AOM,Moderate Allocation Ishares Core ETF
AMEX,American Stock Exchange,AOR,Growth Allocation Ishares Core ETF
AMEX,American Stock Exchange,APT,Alpha Pro Tech
AMEX,American Stock Exchange,ARB,Altshares Merger Arbitrage ETF
AMEX,American Stock Exchange,ARCM,Arrow Reserve Capital Management ETF
AMEX,American Stock Exchange,ARGT,G-X FTSE Argentina 20 ETF
AMEX,American Stock Exchange,ARKF,Ark Fintech Innovation ETF
AMEX,American Stock Exchange,ARKG,Ark Genomic Revolution Multi-Sector ETF
AMEX,American Stock Exchange,ARKK,Ark Innovation ETF
AMEX,American Stock Exchange,ARKQ,Ark Industrial Innovation ETF
AMEX,American Stock Exchange,ARKW,Ark Web X.0 ETF
AMEX,American Stock Exchange,ARMP,Armata Pharmaceuticals Inc
AMEX,American Stock Exchange,ARMR,Armor US Equity Index ETF
AMEX,American Stock Exchange,ASEA,G-X FTSE Asean 40 ETF
AMEX,American Stock Exchange,ASHR,Db-Xt Harvest CSI 300 China A
AMEX,American Stock Exchange,ASHS,Db-Xt Harvest CSI 500 China A
AMEX,American Stock Exchange,ASHX,Db-Xt CSI 300 China A Hgd Eq
AMEX,American Stock Exchange,ASM,Avino Silver & Gold
AMEX,American Stock Exchange,ATMP,Barclays Plus Select MLP ETN
AMEX,American Stock Exchange,ATNM,Actinium Pharmaceuticals Inc
AMEX,American Stock Exchange,AUG,Auryn Resources Inc
AMEX,American Stock Exchange,AUMN,Golden Minerals Company
AMEX,American Stock Exchange,AUSF,Global X Adaptive US Factor ETF
AMEX,American Stock Exchange,AVDE,Avantis International Equity ETF
AMEX,American Stock Exchange,AVDV,Avantis International Small Cap Value
AMEX,American Stock Exchange,AVEM,Avantis Emerging Markets Equity ETF
AMEX,American Stock Exchange,AVUS,Avantis U.S. Equity ETF
AMEX,American Stock Exchange,AVUV,Avantis U.S. Small Cap Value ETF
AMEX,American Stock Exchange,AWAY,Etfmg Travel Tech ETF
AMEX,American Stock Exchange,AWTM,Aware Ultra-Short Duration Enhanced
AMEX,American Stock Exchange,AWX,Avalon Holdings Corp
AMEX,American Stock Exchange,AXU,Alexco Resource Corp
AMEX,American Stock Exchange,AZAA,Allianzim U.S. Large Cap Buffer10 Apr
AMEX,American Stock Exchange,AZBA,Allianzim U.S. Large Cap Buffer20 Apr
AMEX,American Stock Exchange,BAB,Taxable Municipal Bond Invesco ETF
AMEX,American Stock Exchange,BAL,Ipatha.B Cotton Subindex TR ETN
AMEX,American Stock Exchange,BAPR,Innovator S&P 500 Buffer ETF
AMEX,American Stock Exchange,BAR,Graniteshares Gold Trust Shares of
AMEX,American Stock Exchange,BATL,Battalion Oil Corp.
AMEX,American Stock Exchange,BATT,Advanced Battery Metals and Materials
AMEX,American Stock Exchange,BAUG,Innovator S&P 500 Buffer ETF August
AMEX,American Stock Exchange,BBAX,Jpmorgan Betabuilders Developed Asia-Ex
AMEX,American Stock Exchange,BBC,Bioshares Biotech Clinical Trial
AMEX,American Stock Exchange,BBCA,Jpmorgan Betabuilders Canada ETF
AMEX,American Stock Exchange,BBEU,Jpmorgan Betabuilders Europe ETF
AMEX,American Stock Exchange,BBIN,Jpmorgan Betabuilders International
AMEX,American Stock Exchange,BBJP,Jpmorgan Betabuilders Japan ETF
AMEX,American Stock Exchange,BBMC,Jpmorgan Betabuilders U.S. Mid Cap
AMEX,American Stock Exchange,BBP,Bioshares Biotech Products
AMEX,American Stock Exchange,BBRE,Jpmorgan Betabuilders MSCI U.S. REIT ETF
